key,instantiationMoment,title,description,priority,status,startDuration,finishDuration,furtherInformationLink,key:project
objective-01,2002/09/15 23:59,Complete market research,Conduct comprehensive market research for the new product launch,LOW,false,2020/11/01 09:00,2020/12/15 17:00,http://example.com/market_research,project-01
objective-02,2002/09/16 00:00,Implement customer feedback system,Develop and implement a customer feedback system for improving services,MEDIUM,true,2020/09/25 08:00,2020/10/25 17:00,http://example.com/feedback_system,project-02
objective-03,2002/12/31 23:59,Optimize website performance,Identify and resolve performance bottlenecks on the company website,HIGH,true,2020/08/15 09:00,2020/09/15 17:00,http://example.com/website_performance,project-03
objective-04,2000/01/01 00:00,Complete market research,Conduct comprehensive market research for the new product launch,LOW,false,2020/11/01 09:00,2020/12/15 17:00,http://example.com/market_research,project-04
objective-05,2000/01/01 00:01,Implement customer feedback system,Develop and implement a customer feedback system for improving services,MEDIUM,true,2021/09/25 08:00,2021/10/25 17:00,http://example.com/feedback_system,project-01
objective-06,2003/01/01 00:00,Optimize website performance,Identify and resolve performance bottlenecks on the company website,HIGH,true,2021/08/15 09:00,2021/09/15 17:00,http://example.com/website_performance,project-03
objective-07,2002/09/15 08:30,Complete market research,Conduct comprehensive market research for the new product launch,LOW,false,2012/11/01 09:00,2012/12/15 17:00,http://example.com/market_research,project-04
objective-08,2022/07/29 23:30,Implement customer feedback system,Develop and implement a customer feedback system for improving services,MEDIUM,true,2012/09/25 08:00,2012/10/25 17:00,http://example.com/feedback_system,project-01
objective-09,2022/07/29 23:59,Optimize website performance,Identify and resolve performance bottlenecks on the company website,HIGH,true,2013/08/15 09:00,2013/09/15 17:00,http://example.com/website_performance,project-03
objective-10,2002/09/15 23:59,C,Conduct comprehensive market research for the new product launch,LOW,false,2013/11/01 09:00,2013/12/15 17:00,http://example.com/market_research,project-04
objective-11,2002/09/15 23:59,Co,Conduct comprehensive market research for the new product launch,LOW,false,2003/11/01 09:00,2003/12/15 17:00,http://example.com/market_research,project-01
objective-12,2002/09/16 00:00,I'm trying to prove that I can have a title with 76 char and nothing happens,Develop and implement a customer feedback system for improving services,MEDIUM,true,2003/09/25 08:00,2003/10/25 17:00,http://example.com/feedback_system,project-03
objective-13,2002/12/31 23:59,I'm trying to prove that I can have a title with 75 char and nothing happen,Identify and resolve performance bottlenecks on the company website,HIGH,true,2002/08/15 09:00,2002/09/15 17:00,http://example.com/website_performance,project-04
objective-14,2000/01/01 00:00,Complete market research,C,LOW,false,2002/11/01 09:00,2002/12/15 17:00,http://example.com/market_research,project-01
objective-15,2000/01/01 00:01,Implement customer feedback system,De,MEDIUM,true,2010/09/25 08:00,2010/10/25 17:00,http://example.com/feedback_system,project-01
objective-16,2003/01/01 00:00,Optimize website performance,I'm writing a description long to prove the restriction works just fine so I have to reach 101 chars!,HIGH,true,2010/08/15 09:00,2010/09/15 17:00,http://example.com/website_performance,project-03
objective-17,2002/09/15 08:30,Complete market research,I'm writing a description long to prove the restriction works just fine so I have to reach 101 chars,LOW,false,2010/11/01 09:00,2010/12/15 17:00,http://example.com/market_research,project-03
objective-18,2022/07/29 23:30,Implement customer feedback system,Develop and implement a customer feedback system for improving services,MEDIUM,true,2008/09/25 08:00,2008/10/25 17:00,,project-04
objective-19,2022/07/29 23:59,Optimize website performance,Identify and resolve performance bottlenecks on the company website,HIGH,true,2008/08/15 09:00,2008/09/15 17:00,http://e.com,project-04
objective-20,2002/09/15 23:59,C,Conduct comprehensive market research for the new product launch,LOW,false,2013/11/01 09:00,2013/12/15 17:00,http://ex,project-01
objective-21,2002/09/15 23:59,Co,Conduct comprehensive market research for the new product launch,LOW,false,2003/11/01 09:00,2003/12/15 17:00,http://examplexrthj6ust65ju6sjusg6jeggtruhjtse46htrsyuhj46tuyuhryjnryuhj4egrhsw3rhcxgyhunjyuiktiukmgtfdresswasedrtfyjhbvgcfdertyuklkjhgftyuioiplkjhgytfresdfgtyyyyyyyujhgtfredfgyttrdfghjiuytrfedwefrgtyuijuyhtrwertyjuykikjuhygtrfeertyhgfddfgtrdederrgtd.com,project-01
objective-22,2002/09/16 00:00,title 1,Develop and implement a customer feedback system for improving services,MEDIUM,true,2003/09/25 08:00,2003/10/25 17:00,http://examplexrthj6ust65ju6sjusg6jeggtruhjtse46htrsyuhj46tuyuhryjnryuhj4egrhsw3rhcxgyhunjyuiktiukmgtfdresswasedrtfyjhbvgcfdertyuklkjhgftyuioiplkjhgytfresdfgtyyyyyyyujhgtfredfgyttrdfghjiuytrfedwefrgtyuijuyhtrwertyjuykikjuhygtrfeertyhgfddfgtrdederrgtdf.com,project-01
objective-23,2002/12/31 23:59,title 2,Identify and resolve performance bottlenecks on the company website,HIGH,true,2003/01/01 00:00,2002/01/15 23:59,http://example.com/website_performance,project-03
objective-24,2000/01/01 00:00,Complete market research,C,LOW,false,2000/01/01 00:30,2000/01/01 00:30,http://example.com/market_research,project-03
objective-25,2000/01/01 00:01,Implement customer feedback system,De,MEDIUM,true,2000/01/13 08:01,2000/02/23 17:00,http://example.com/feedback_system,project-03
objective-26,2003/01/01 00:00,Optimize website performance,description 1,HIGH,true,2000/02/01 09:00,2010/03/01 17:00,http://example.com/website_performance,project-04
objective-27,2002/09/15 08:30,Complete market research,description 2,LOW,false,2002/12/15 09:00,2003/01/15 17:00,http://example.com/market_research,project-04